customer_id,name,email,country_code,tier,lifetime_value_eur,signup_date,is_active
CUST-1000,Diego Romero,cust1000@example.com,IT,gold,19845.29,2020-11-07,True
CUST-1001,Clara Sanchez,cust1001@example.com,FR,bronze,17468.18,2021-08-20,True
CUST-1002,Bruno Martinez,cust1002@example.com,DE,bronze,18770.22,2021-06-05,False
CUST-1003,Elena Sanchez,cust1003@example.com,US,bronze,5556.95,2024-01-13,True
CUST-1004,Olivia Torres,cust1004@example.com,MX,gold,10503.27,2021-10-23,True
CUST-1005,Diego Lopez,cust1005@example.com,PT,bronze,4036.0,2021-11-16,True
CUST-1006,Hugo Sanchez,cust1006@example.com,DE,bronze,4785.97,2022-10-17,True
CUST-1007,Federico Romero,cust1007@example.com,US,bronze,15891.66,2022-03-13,True
CUST-1008,Luis Vargas,cust1008@example.com,US,bronze,9602.33,2023-09-26,True
CUST-1009,Diego Garcia,cust1009@example.com,DE,bronze,22525.37,2020-07-14,False
CUST-1010,Luis Ruiz,cust1010@example.com,IT,bronze,22420.04,2020-05-19,True
CUST-1011,Hugo Torres,cust1011@example.com,BR,bronze,2189.29,2023-10-08,True
CUST-1012,Clara Garcia,cust1012@example.com,PT,silver,16659.75,2020-05-19,True
CUST-1013,Luis Castro,cust1013@example.com,GB,silver,987.82,2022-04-26,True
CUST-1014,Ines Garcia,cust1014@example.com,AR,bronze,5352.7,2020-12-31,True
CUST-1015,Karla Ruiz,cust1015@example.com,GB,gold,4972.03,2020-03-13,True
CUST-1016,Federico Castro,cust1016@example.com,BR,bronze,23141.87,2021-12-29,True
CUST-1017,Marta Romero,cust1017@example.com,BR,gold,5959.29,2022-04-16,True
CUST-1018,Bruno Diaz,cust1018@example.com,US,silver,9027.26,2023-10-10,True
CUST-1019,Ines Castro,cust1019@example.com,ES,platinum,132.5,2022-07-03,True
CUST-1020,Javier Garcia,cust1020@example.com,DE,bronze,7955.95,2022-01-17,True
CUST-1021,Elena Martinez,cust1021@example.com,FR,silver,11668.57,2020-01-05,False
CUST-1022,Bruno Vargas,cust1022@example.com,MX,silver,12524.94,2022-06-23,True
CUST-1023,Nicolas Garcia,cust1023@example.com,DE,silver,590.48,2023-08-19,True
CUST-1024,Ana Torres,cust1024@example.com,GB,gold,18055.57,2021-05-31,True
CUST-1025,Bruno Sanchez,cust1025@example.com,PT,silver,7226.97,2022-10-02,True
CUST-1026,Olivia Diaz,cust1026@example.com,DE,silver,2198.33,2021-03-04,True
CUST-1027,Elena Torres,cust1027@example.com,PT,silver,18622.93,2022-01-17,True
CUST-1028,Elena Castro,cust1028@example.com,FR,bronze,7272.99,2023-11-09,True
CUST-1029,Javier Romero,cust1029@example.com,US,bronze,8004.93,2022-02-27,False
CUST-1030,Olivia Ruiz,cust1030@example.com,MX,bronze,2584.4,2020-05-11,True
CUST-1031,Nicolas Martinez,cust1031@example.com,US,gold,4807.78,2023-09-17,False
CUST-1032,Luis Torres,cust1032@example.com,FR,bronze,23265.19,2021-02-02,True
CUST-1033,Nicolas Martinez,cust1033@example.com,IT,bronze,11502.93,2021-09-10,True
CUST-1034,Bruno Diaz,cust1034@example.com,US,bronze,14966.62,2020-09-25,True
CUST-1035,Ines Garcia,cust1035@example.com,GB,bronze,2821.54,2023-02-22,True
CUST-1036,Olivia Romero,cust1036@example.com,GB,silver,9879.07,2023-12-16,True
CUST-1037,Ana Sanchez,cust1037@example.com,MX,bronze,13958.68,2021-12-15,True
CUST-1038,Ines Torres,cust1038@example.com,FR,silver,17394.28,2021-05-07,True
CUST-1039,Ana Romero,cust1039@example.com,AR,bronze,11089.29,2023-06-07,True
CUST-1040,Nicolas Torres,cust1040@example.com,PT,bronze,13062.59,2021-08-21,True
CUST-1041,Federico Garcia,cust1041@example.com,AR,platinum,6772.03,2021-09-03,True
CUST-1042,Olivia Vargas,cust1042@example.com,FR,gold,13502.73,2022-04-22,True
CUST-1043,Hugo Vargas,cust1043@example.com,GB,platinum,12382.4,2023-04-27,True
CUST-1044,Ana Castro,cust1044@example.com,US,bronze,5175.91,2021-01-30,True
CUST-1045,Diego Castro,cust1045@example.com,GB,bronze,22282.2,2021-06-02,True
CUST-1046,Bruno Lopez,cust1046@example.com,GB,bronze,2395.04,2022-07-04,True
CUST-1047,Diego Torres,cust1047@example.com,ES,bronze,11540.76,2022-06-07,True
CUST-1048,Luis Castro,cust1048@example.com,BR,platinum,20096.31,2022-01-20,False
CUST-1049,Javier Castro,cust1049@example.com,US,bronze,2409.5,2024-01-09,False
CUST-1050,Karla Torres,cust1050@example.com,IT,silver,6608.2,2021-11-20,True
CUST-1051,Diego Martinez,cust1051@example.com,DE,gold,16404.89,2022-11-25,True
CUST-1052,Nicolas Lopez,cust1052@example.com,FR,silver,1705.57,2022-09-03,True
CUST-1053,Clara Martinez,cust1053@example.com,MX,gold,3670.59,2020-05-19,True
CUST-1054,Hugo Sanchez,cust1054@example.com,MX,silver,18378.78,2023-09-03,True
CUST-1055,Marta Castro,cust1055@example.com,ES,silver,6250.89,2020-06-06,True
CUST-1056,Karla Lopez,cust1056@example.com,MX,platinum,20434.79,2021-09-18,True
CUST-1057,Olivia Vargas,cust1057@example.com,PT,silver,11629.44,2020-06-15,True
CUST-1058,Olivia Garcia,cust1058@example.com,ES,silver,9108.53,2021-05-31,True
CUST-1059,Ines Ruiz,cust1059@example.com,AR,gold,8134.12,2022-10-07,True
CUST-1060,Ana Ruiz,cust1060@example.com,BR,silver,14001.41,2022-12-29,False
CUST-1061,Bruno Diaz,cust1061@example.com,IT,bronze,3145.89,2022-10-02,False
CUST-1062,Karla Garcia,cust1062@example.com,MX,platinum,17525.81,2020-12-28,True
CUST-1063,Ines Vargas,cust1063@example.com,ES,platinum,1146.78,2022-08-27,True
CUST-1064,Luis Castro,cust1064@example.com,AR,gold,23222.11,2022-05-24,True
CUST-1065,Hugo Ruiz,cust1065@example.com,AR,bronze,9098.39,2021-09-13,True
CUST-1066,Ines Vargas,cust1066@example.com,FR,silver,9654.28,2021-06-21,True
CUST-1067,Ana Torres,cust1067@example.com,PT,bronze,10558.33,2022-02-16,True
CUST-1068,Karla Vargas,cust1068@example.com,GB,silver,4968.37,2023-12-30,True
CUST-1069,Elena Vargas,cust1069@example.com,IT,bronze,18846.25,2020-09-24,True
CUST-1070,Luis Lopez,cust1070@example.com,FR,bronze,22457.42,2020-03-26,True
CUST-1071,Federico Sanchez,cust1071@example.com,GB,bronze,20873.24,2023-01-31,True
CUST-1072,Ines Romero,cust1072@example.com,DE,bronze,11157.4,2020-04-07,True
CUST-1073,Federico Torres,cust1073@example.com,ES,platinum,1331.86,2021-07-08,True
CUST-1074,Federico Ruiz,cust1074@example.com,DE,platinum,4960.85,2023-03-15,False
